"Kenny","Kyara","Sophie","Emily","Christian"
"140.251","122.673","37.229","87.811","115.159"
"146.024","108.397","54.848","86.425","125.449"
"143.928","81.776","78.282","106.368","108.504"
"132.717","86.116","67.403","99.971","129.213"
"146.11","119.927","52.271","91.006","45.462"
"114.865","67.896","59.721","89.759","88.462"
"146.769","108.987","35.025","86.872","70.422"
"","135.628","75.245","55.706","108.156"
"","103.088","68.536","104.197","25.244"
"","92.062","87.687","90.462","50.165"
"","127.74","62.277","80.007","85.123"
"","101.567","104.199","122.957","124.948"
"","115.843","72.834","85.839","126.85"
"","105.59","94.255","91.47","73.319"
"","95.581","87.431","104.847","141.732"
"","139.426","88.208","139.484","129.404"
"","106.259","77.704","80.9","71.62"
"","74.147","71.432","137.07","59.297"
"","107.444","","141.932","45.357"
"","144.001","","83.998","92.598"
"","147.807","","111.645","70.878"
"","143.529","","74.194","41.523"
"","125.965","","105.763","89.279"
"","107.328","","145.783","84.144"
"","104.182","","120.412","41.909"
"","89.639","","92.367","77.449"
"","74.916","","93.79","59.271"
"","140.121","","46.217","41.102"
"","154.553","","52.293","36.032"
"","63.388","","24.844","99.792"
"","125.108","","36.306","115.772"
"","60.785","","123.585","71.825"
"","59.162","","72.352","67.587"
"","157.908","","72.886",""
"","84.766","","128.287",""
"","112.188","","103.049",""
"","138.02","","108.484",""
"","110.883","","82.249",""
"","92.566","","66.837",""
"","121.921","","94.274",""
"","93.257","","69.734",""
"","88.872","","94.553",""
"","90.143","","63.447",""
"","59.511","","27.87",""
"","115.155","","94.255",""
"","83.849","","73.377",""
"","144.272","","43.389",""
"","91.773","","122.993",""
"","99.904","","90.805",""
"","133.147","","27.422",""
"","111.375","","80.99",""
"","111.278","","102.898",""
"","103.656","","70.395",""
"","99.646","","80.311",""
"","123.7","","76.709",""
"","136.409","","110.505",""
"","66.67","","83.287",""
"","147.695","","101.187",""
"","143.428","","91.006",""
"","142.222","","118.18",""
"","140.169","","76.712",""
"","122.644","","138.015",""
"","20.814","","74.296",""
"","59.571","","121.029",""
"","79.521","","70.886",""
"","63.546","","142.076",""
"","43.704","","121.293",""
"","73.645","","89.48",""
"","104.663","","54.148",""
"","140.252","","147.736",""
"","109.391","","34.864",""
"","106.544","","40.475",""
"","85.702","","77.856",""
"","125.781","","123.586",""
"","27.93","","110.47",""
"","128.516","","106.529",""
"","145.758","","57.987",""
"","137.7","","95.431",""
"","119.662","","101.056",""
"","90.409","","144.457",""
"","125.205","","97.531",""
"","123.161","","118.692",""
"","83.291","","75.712",""
"","97.793","","118.112",""
"","122.663","","104.509",""
"","91.53","","48.021",""
"","119.822","","107.038",""
"","144.445","","92.976",""
"","110.052","","74.559",""
"","118.854","","121.339",""
"","151.197","","139.341",""
"","161.163","","115.367",""
"","148.248","","53.96",""
"","141.937","","95.314",""
"","146.482","","128.352",""
"","146.696","","139.056",""
"","102.873","","109.21",""
"","117.757","","85.38",""
"","126.309","","117.998",""
"","132.483","","87.396",""
"","124.227","","117.862",""
"","116.826","","50.741",""
"","81.004","","88.436",""
"","130.518","","87.139",""
"","107.854","","119.802",""
"","117.45","","73.649",""
"","106.425","","44.632",""
"","110.9","","85.538",""
"","105.532","","56.682",""
"","127.986","","73.694",""
"","143.017","","84.063",""
"","106.592","","85.921",""
"","153.743","","102.15",""
"","135.19","","62.469",""
"","112.864","","58.027",""
"","105.288","","67.687",""
"","78.691","","51.613",""
"","118.434","","92.038",""
"","96.135","","121.989",""
"","97.511","","85.756",""
"","162.91","","141.599",""
"","117.941","","38.035",""
"","84.42","","52.035",""
"","119.358","","39.059",""
"","141.068","","82.036",""
"","89.767","","133",""
"","81.427","","130.194",""
"","140.236","","135.665",""
"","140.088","","123.015",""
"","121.107","","72.044",""
"","113.092","","66.558",""
"","128.679","","139.016",""
"","134.21","","137.105",""
"","119.05","","120.97",""
"","109.554","","129.302",""
"","91.031","","124.679",""
"","106.823","","152.337",""
"","96.516","","92.642",""
"","74.642","","85.821",""
"","83.063","","114.751",""
"","109.095","","118.147",""
"","108.649","","105.77",""
"","92.283","","107.147",""
"","103.797","","154.485",""
"","133.799","","123.56",""
"","127.095","","86.77",""
"","112.123","","77.646",""
"","81.734","","63.7",""
"","106.072","","79.933",""
"","91.865","","97.736",""
"","28.365","","28.692",""
"","142.671","","68.532",""
"","140.255","","127.073",""
"","131.886","","101.171",""
"","133.739","","61.246",""
"","80.794","","104.071",""
"","87.728","","30.258",""
"","142.033","","76.421",""
"","104.099","","26.551",""
"","114.768","","121.427",""
"","118.179","","39.03",""
"","86.718","","112.244",""
"","116.362","","117.979",""
"","88.597","","85.975",""
"","130.448","","73.92",""
"","139.849","","122.472",""
"","135.878","","129.829",""
"","153.094","","125.377",""
"","80.155","","119.79",""
"","155.765","","123.973",""
"","77.446","","122.514",""
"","138.388","","145.839",""
"","82.226","","134.551",""
"","133.849","","78.591",""
"","145.621","","79.201",""
"","144.102","","68.344",""
"","131.923","","78.665",""
"","94.21","","102.959",""
"","122.146","","92.031",""
"","94.633","","111.947",""
"","115.475","","120.017",""
"","83.175","","132.416",""
"","104.606","","116.588",""
"","151.701","","98.329",""
"","121.601","","77.19",""
"","128.406","","44.318",""
"","121.272","","95.158",""
"","91.808","","73.082",""
"","109.903","","89.602",""
"","125.742","","123.935",""
"","52.051","","90.276",""
"","119.644","","70.731",""
"","100.091","","75.382",""
"","117.191","","122.795",""
"","131.434","","117.123",""
"","137.541","","103.665",""
"","89.896","","77.292",""
"","109.584","","85.386",""
"","113.235","","69.201",""
"","137.893","","104.336",""
"","48.238","","118.196",""
"","42.669","","109.198",""
"","4.859","","",""
"","1.922","","",""
"","18.018","","",""
"","-20.41","","",""
"","112.895","","",""
"","136.283","","",""
"","128.958","","",""
"","71.731","","",""
"","138.447","","",""
"","131.273","","",""
"","118.006","","",""
"","136.385","","",""
"","133.344","","",""
"","135.797","","",""
"","126.911","","",""
"","43.487","","",""
"","41.979","","",""
"","45.796","","",""
"","128.404","","",""
"","143.928","","",""
"","146.458","","",""
"","144.517","","",""
"","80.008","","",""
"","103.343","","",""
"","137.212","","",""
"","105.272","","",""
"","99.552","","",""
"","132.706","","",""
"","139.583","","",""
"","81.784","","",""
"","139.843","","",""
"","104.614","","",""
"","109.219","","",""
"","127.349","","",""
"","148.966","","",""
"","116.608","","",""
"","56.153","","",""
"","137.849","","",""
"","95.431","","",""
"","46.478","","",""
"","108.339","","",""
"","130.337","","",""
"","99.971","","",""
"","95.828","","",""
"","151.706","","",""
"","88.468","","",""
"","123.021","","",""
"","133.88","","",""
"","138.958","","",""
"","115.823","","",""
"","135.123","","",""
"","91.965","","",""
"","89.087","","",""
"","56.615","","",""
"","84.278","","",""
"","115.577","","",""
"","113.167","","",""
"","150.851","","",""
"","94.57","","",""
"","125","","",""
"","84.019","","",""
"","142.648","","",""
"","142.604","","",""
"","129.69","","",""
"","97.325","","",""
"","67.43","","",""
"","40.634","","",""
"","114.644","","",""
"","71.682","","",""
"","60.267","","",""
"","73.326","","",""
"","128.909","","",""
"","134.814","","",""
"","149.801","","",""
"","130.241","","",""
"","92.503","","",""
"","104.684","","",""
"","58.217","","",""
"","129.695","","",""
"","96.934","","",""
"","108.42","","",""
"","108.882","","",""
"","137","","",""
"","123.897","","",""
"","124.412","","",""
"","107.038","","",""
"","140.56","","",""
"","108.965","","",""
"","85.486","","",""
"","144.149","","",""
"","15.754","","",""
"","131.471","","",""
"","114.486","","",""
"","124.332","","",""
"","93.855","","",""
"","126.604","","",""
"","129.259","","",""
"","92.557","","",""
"","55.801","","",""
"","90.568","","",""
"","75.578","","",""
"","86.673","","",""
"","84.974","","",""
"","71.672","","",""
"","102.603","","",""
"","12.823","","",""
"","58.845","","",""
"","58.268","","",""
"","47.266","","",""
"","121.169","","",""
"","114.055","","",""
"","118.249","","",""
"","120.179","","",""
"","115.175","","",""
"","127.044","","",""
"","144.977","","",""
"","80.877","","",""
"","105.479","","",""
"","127.869","","",""
"","52.252","","",""
"","106.711","","",""
"","77.526","","",""
"","100.814","","",""
"","137.558","","",""
"","118.692","","",""
"","126.608","","",""
"","140.382","","",""
"","64.003","","",""
"","91.841","","",""
"","54.732","","",""
"","81.223","","",""
"","71.299","","",""
"","118.626","","",""
"","32.277","","",""
"","76.459","","",""
"","109.755","","",""
"","25.532","","",""
"","61.896","","",""
"","99.598","","",""
"","74.509","","",""
"","85.344","","",""
"","100.141","","",""
"","92.365","","",""
"","131.869","","",""
"","126.311","","",""
"","93.427","","",""
"","102.579","","",""
"","117.285","","",""
"","126.775","","",""
"","135.625","","",""
"","107.65","","",""
"","148.113","","",""
"","109.659","","",""
"","132.7","","",""
"","75.895","","",""
"","81.623","","",""
"","152.071","","",""
"","112.785","","",""
"","131.905","","",""
"","117.882","","",""
"","85.315","","",""
"","112.032","","",""
"","114.319","","",""
"","13.707","","",""
"","88.574","","",""
"","157.257","","",""
"","107.977","","",""
"","126.283","","",""
"","52.101","","",""
"","24.154","","",""
"","110.807","","",""
"","100.368","","",""
"","117.915","","",""
"","72.834","","",""
"","79.494","","",""
"","36.365","","",""
"","141.834","","",""
"","120.161","","",""
"","89.509","","",""
"","30.329","","",""
"","89.337","","",""
"","127.274","","",""
"","52.764","","",""
"","138.922","","",""
"","121.065","","",""
"","125.514","","",""
"","152.649","","",""
"","123.334","","",""
"","117.156","","",""
"","142.404","","",""
"","85.234","","",""
"","130.789","","",""
"","130.781","","",""
"","113.209","","",""
"","133.537","","",""
"","128.584","","",""
"","131.186","","",""
"","142.495","","",""
"","105.763","","",""
"","76.049","","",""
"","59.028","","",""
"","56.319","","",""
"","84.61","","",""
"","68.596","","",""
"","71.947","","",""
"","72.834","","",""
"","115.085","","",""
"","62.323","","",""
"","53.6","","",""
"","102.478","","",""
"","160.238","","",""
"","98.371","","",""
"","134.427","","",""
"","124.177","","",""
"","117.029","","",""
"","65.846","","",""
"","107.79","","",""
"","116.949","","",""
"","111.168","","",""
"","111.554","","",""
"","51.705","","",""
"","135.636","","",""
"","68.532","","",""
"","113.049","","",""
"","114.39","","",""
"","106.676","","",""
"","92.087","","",""
"","47.274","","",""
"","127.418","","",""
"","131.499","","",""
"","126.407","","",""
"","140.415","","",""
"","147.464","","",""
"","137.415","","",""
"","88.773","","",""
"","114.246","","",""
"","120.273","","",""
"","117.229","","",""
"","61.493","","",""
"","120.461","","",""
"","91.026","","",""
"","64.324","","",""
"","92.048","","",""
"","38.403","","",""
